LotArea,OverallCond,BedroomAbvGr,Fireplaces,GarageCars,SalePrice,SaleCondition
2117,5,3,1,2,177000,Normal
7588,6,4,1,1,200100,Normal
9060,6,3,1,1,120000,Normal
11426,5,3,0,2,200000,Normal
7438,8,3,0,2,127000,Normal
22950,9,4,2,3,475000,Normal
9947,5,3,0,2,173000,Normal
10410,7,3,0,1,135000,Normal
7018,5,2,2,2,153337,Alloca
4923,5,0,1,2,286000,Normal
10570,8,3,2,2,315000,Normal
7472,9,4,0,2,184000,Normal
9017,5,3,0,2,192000,Normal
2522,5,3,0,2,130000,Normal
7180,7,3,0,1,127000,Normal
2280,6,3,1,2,148500,Normal
9416,5,3,1,3,311872,Partial
25419,4,4,1,2,235000,Abnorml
5520,6,5,0,0,104000,Abnorml
9591,5,3,1,3,274900,Normal
8546,5,2,0,2,140000,Normal
10125,6,3,2,2,171500,Normal
7000,6,2,0,1,112000,Normal
4438,5,1,1,2,149000,Normal
3500,7,2,0,1,110000,Normal
11851,5,3,0,2,180500,Normal
13673,5,3,1,1,143900,Normal
12493,5,3,1,1,141000,Normal
14364,5,3,1,2,277000,Normal
8250,7,3,0,2,145000,Normal
5604,6,2,0,0,98000,Normal
10420,5,3,0,2,186000,Normal
8640,5,3,1,2,252678,Partial
13568,5,3,0,2,156000,Normal
10900,7,3,0,1,161750,Normal
10011,6,2,1,1,134450,Normal
8450,5,3,0,2,210000,Normal
9906,4,3,0,1,107000,Family
15660,9,3,2,2,311500,Normal
3010,5,2,0,2,167240,Partial
8990,5,2,0,2,204900,Partial
8068,5,4,1,2,200000,Normal
11475,6,3,1,2,179900,Normal
10500,6,2,0,2,97000,Abnorml
13472,5,3,1,3,386250,Normal
1680,5,3,0,1,112000,Abnorml
9950,5,4,1,3,290000,Abnorml
1869,6,2,0,1,106000,Normal
8521,5,3,1,1,125000,Normal
3182,5,2,1,2,192500,Normal
8760,6,3,0,1,148000,Normal
15138,5,4,1,3,403000,Normal
1680,5,2,1,1,94500,Normal
10650,6,3,0,1,128200,Normal
7851,5,4,2,2,216500,Normal
1680,3,2,0,1,89500,Normal
8773,5,3,0,2,185500,Normal
9453,7,3,0,2,194500,Normal
12030,5,3,0,3,318000,Partial
8741,4,3,1,1,113000,Normal
9000,5,3,0,2,262500,Normal
3880,9,2,0,0,110500,Normal
5000,4,3,0,1,79000,Normal
10762,6,3,1,1,120000,Normal
8880,5,3,2,2,205000,Normal
10400,5,3,1,2,241500,Normal
9142,8,4,0,1,137000,Normal
11310,5,2,1,2,140000,Normal
11317,5,3,0,2,180000,Normal
159000,7,4,2,2,277000,Normal
5350,2,3,0,0,76500,Normal
4750,5,2,1,2,235000,Family
8366,5,3,0,2,173000,Normal
9350,7,3,0,1,158000,Normal
8400,6,3,0,1,145000,Normal
8738,5,4,1,2,230000,Normal
8791,5,3,0,2,207500,Normal
8814,5,3,1,2,220000,Abnorml
12435,5,3,1,2,231500,Normal
12702,5,2,0,1,97000,Normal
19296,5,3,1,2,176000,Normal
9588,5,3,1,3,276000,Partial
8471,7,3,1,2,151000,Normal
5500,7,3,0,2,130000,Normal
5232,5,2,0,2,73000,Normal
12090,6,3,1,2,175500,Normal
11207,5,3,1,2,185000,Normal
8400,8,4,1,1,179500,Normal
6900,6,2,1,1,120500,Normal
7917,7,3,1,1,148000,Normal
10728,5,3,1,3,266000,Partial
39104,7,2,2,2,241500,Normal
11764,7,4,1,3,290000,Normal
9600,6,3,1,1,139000,Normal
8314,7,2,0,1,124500,Normal
7264,7,3,0,2,205000,Normal
9196,5,3,0,2,201000,Normal
19138,5,2,0,2,141000,Normal
14450,5,3,1,3,415298,Partial
10005,5,4,1,2,192000,Normal
11287,6,3,1,2,228500,Normal
7200,5,2,0,2,185000,Partial
5063,5,2,1,2,207500,Normal
9612,5,3,1,3,244600,Partial
8012,5,2,0,2,179200,Normal
4251,5,2,0,2,164700,Partial
9786,7,3,1,2,159000,Normal
8125,4,3,0,0,88000,Normal
9819,5,3,0,1,122000,Normal
8730,7,3,0,1,153575,Normal
15611,5,3,1,2,233230,Partial
5687,6,6,0,0,135900,Normal
11409,4,3,1,1,131000,Normal
16659,7,3,1,2,235000,Normal
9600,5,3,2,2,167000,Normal
7937,6,3,0,2,142500,Normal
13710,5,4,0,1,152000,Normal
7399,5,3,1,2,239000,Normal
11700,6,3,1,2,175000,Normal
14000,8,3,1,1,158500,Family
15750,5,2,2,1,157000,Normal
16226,5,4,1,2,267000,Normal
13704,5,3,1,3,205000,Normal
9800,7,3,0,2,149900,Abnorml
18386,9,3,1,3,295000,Normal
10386,5,3,0,3,305900,Normal
13474,5,4,1,3,225000,Normal
7920,7,3,0,0,89500,Normal
12342,5,1,0,2,82500,Normal
12378,5,3,3,3,360000,Normal
7685,5,3,1,2,165600,Normal
8000,6,2,1,1,132000,Normal
7800,7,3,1,2,119900,Normal
215245,5,3,2,2,375000,Normal
9600,7,3,1,2,178000,Normal
7795,5,3,1,2,188500,Normal
13005,7,4,1,2,260000,Normal
9000,5,3,1,3,270000,Normal
9900,5,4,1,3,260000,Normal
14115,5,3,2,2,187500,Normal
16259,5,4,0,3,342643,Partial
12099,5,4,1,3,354000,Normal
10380,5,4,1,2,301000,Normal
5820,8,3,0,1,126175,Normal
11275,7,5,1,2,242000,Normal
5000,6,2,0,2,87000,Normal
10846,5,1,2,2,324000,Normal
11600,5,3,0,1,145250,Normal
11888,6,5,0,2,214500,Normal
6402,5,3,0,1,78000,Normal
10624,4,6,0,1,119000,Normal
8176,6,3,0,1,139000,Normal
10655,5,3,1,3,284000,Normal
8198,5,2,1,2,207000,Normal
9042,5,3,2,2,192000,Normal
164660,6,3,2,2,228950,Normal
14157,5,3,1,3,377426,Normal
9135,5,3,0,2,214000,Normal
14145,7,3,0,2,202500,Normal
12400,7,3,0,1,155000,Normal
14191,5,4,0,2,202900,Normal
8400,4,2,0,1,82000,Normal
8544,4,2,0,2,87500,Normal
8849,5,2,1,2,266000,Normal
2592,3,3,0,1,85000,Normal
6435,5,3,1,1,140200,Normal
12772,8,2,0,1,151500,Normal
17600,5,3,2,2,157500,Normal
2448,5,2,0,2,154000,Normal
20431,5,4,2,3,437154,Partial
7820,5,2,1,2,318061,Partial
5271,5,2,1,2,190000,Abnorml
9084,6,3,0,1,95000,Normal
8520,8,2,0,2,105900,Normal
8400,5,2,2,1,140000,Normal
11249,5,3,0,2,177500,Normal
9248,6,3,0,2,173000,Normal
4224,5,3,1,2,134000,Normal
6930,4,3,0,1,130000,Abnorml
12011,5,3,1,2,280000,Normal
7540,6,2,1,2,156000,Normal
9144,5,3,0,1,145000,Normal
7301,5,4,1,2,198500,Normal
1680,8,2,0,1,118000,Normal
18800,5,3,1,2,190000,Normal
10690,7,3,0,1,147000,Normal
9500,5,3,2,2,159000,Normal
9150,5,3,1,1,165000,Normal
7800,6,2,1,1,132000,Normal
9830,7,3,1,2,162000,Normal
8121,5,3,1,2,172400,Normal
17120,4,4,1,2,134432,Normal
7175,5,2,0,1,125000,Normal
10634,6,3,0,1,123000,Normal
8200,5,4,1,2,219500,Normal
10020,1,1,0,0,61000,Normal
8846,5,2,0,2,148000,Normal
11143,5,4,1,2,340000,Normal
11394,2,1,1,3,394432,Partial
8123,5,3,1,2,179000,Normal
5000,6,3,1,1,127000,Normal
7200,5,2,1,2,187750,Partial
9245,5,3,0,2,213500,Normal
9000,3,2,0,2,76000,Normal
53107,5,3,2,2,240000,Normal
3182,5,2,1,2,192000,Normal
8410,3,5,0,0,81000,AdjLand
7200,6,3,1,1,125000,Abnorml
9382,5,3,0,2,191000,Normal
12474,5,3,1,3,426000,Partial
8405,8,4,0,1,119000,Normal
12209,5,3,1,2,215000,Normal
8339,7,3,0,1,106500,Normal
7446,5,2,2,0,100000,Abnorml
10134,6,2,0,1,109000,Normal
9571,6,3,0,1,129000,Normal
7200,5,2,0,2,123000,Normal
7590,5,4,1,1,169500,Normal
8967,2,2,0,1,67000,Abnorml
8125,5,2,0,2,241000,Normal
14963,5,1,2,2,245500,Normal
8767,5,3,1,2,164990,Partial
10200,8,2,0,1,108000,Normal
12090,5,4,1,2,258000,Abnorml
10364,5,3,1,2,168000,Normal
9991,4,3,1,2,150000,Normal
10480,5,3,0,1,115000,Normal
15576,7,4,0,1,177000,Normal
14154,5,3,1,3,280000,Partial
10800,5,3,1,3,339750,Partial
9571,3,3,0,1,60000,Abnorml
34650,5,3,0,2,145000,Normal
4403,5,2,1,2,222000,Partial
8960,6,2,1,2,115000,Normal
11228,5,3,1,3,228000,Normal
8899,5,3,0,2,181134,Partial
7844,7,3,1,2,149500,Normal
22420,6,4,1,3,239000,Normal
8160,6,3,0,1,126000,AdjLand
8450,6,3,1,1,142000,Normal
7060,5,2,0,4,206300,Alloca
16635,7,3,1,2,215000,Normal
21750,5,2,0,2,113000,Normal
9200,5,4,1,3,315000,Normal
9000,5,2,1,1,139000,Normal
3378,8,3,2,1,135000,Normal
12800,5,2,1,2,275000,Normal
8593,6,3,0,1,109008,Normal
6762,5,2,0,2,195400,Partial
11457,5,3,1,2,175000,Normal
1680,5,2,0,1,85400,Abnorml
5586,7,4,0,0,79900,Abnorml
1920,5,2,0,2,122500,Normal
10839,5,3,1,2,181000,Normal
1890,7,1,0,0,81000,Normal
10667,6,3,1,2,212000,Normal
4400,8,2,0,2,116000,Normal
6000,7,2,0,1,119000,Normal
4280,6,2,1,1,90350,Normal
12354,8,3,0,2,110000,Normal
15431,5,2,2,3,555000,Normal
12108,4,4,0,0,118000,Normal
6240,7,3,1,2,162900,Normal
3922,5,2,1,3,172500,Partial
8750,5,4,1,2,210000,Normal
9855,5,3,1,2,127500,Normal
16492,6,2,1,2,190000,Normal
11214,5,4,1,2,199900,Normal
8600,6,3,1,1,119500,Normal
6000,7,2,0,1,120000,Normal
5684,8,2,0,1,110000,Normal
70761,5,2,2,2,280000,Normal
9303,5,3,0,2,204000,Normal
9000,5,3,0,2,210000,Normal
9297,5,4,0,2,188000,Family
9600,6,3,1,2,175500,Normal
4571,5,4,0,3,98000,Abnorml
53227,6,2,2,2,256000,Normal
5100,7,3,1,1,161000,Normal
7015,4,3,1,1,110000,Normal
8004,5,3,0,2,263435,Partial
7200,9,3,0,2,155000,Normal
8281,5,3,1,1,62383,Normal
11988,7,3,1,1,188700,Normal
8430,5,3,0,0,124000,Normal
3072,5,2,1,2,178740,Normal
10628,5,2,1,2,167000,Normal
9480,7,3,2,1,146500,Normal
11428,5,3,1,3,250000,Normal
9291,5,3,0,2,187000,Normal
6820,5,1,0,2,212000,Normal
11952,6,3,1,2,190000,Normal
3675,5,2,0,2,148000,Normal
14977,5,2,1,3,440000,Partial
5330,5,2,0,2,251000,Normal
8480,6,2,0,2,132500,Normal
13125,5,3,1,2,208900,Normal
13693,5,3,1,3,380000,Normal
10637,5,3,1,3,297000,Normal
5925,7,2,0,2,89471,Alloca
16033,5,3,1,3,326000,Normal
11846,5,2,1,3,374000,Normal
2500,8,4,1,1,155000,Normal
4500,5,2,0,2,164000,Normal
7758,7,3,0,1,132500,Normal
9600,7,3,1,1,147000,Normal
10289,7,3,0,2,156000,Normal
12243,6,3,1,2,175000,Normal
10800,4,3,1,2,160000,Normal
1526,8,1,0,1,86000,Normal
2665,6,3,1,1,115000,Normal
9490,7,3,2,1,133000,Normal
15578,5,3,0,2,172785,Partial
7931,6,3,1,1,155000,Normal
5784,8,2,0,1,91300,Normal
7879,5,2,0,0,34900,Abnorml
12692,5,4,1,2,430000,Normal
9120,6,4,0,1,184000,Normal
7800,7,3,0,1,130000,Normal
7535,7,2,0,1,120000,Normal
1890,5,3,0,1,113000,Normal
9803,5,3,0,2,226700,Normal
9170,7,2,0,2,140000,Normal
15602,8,1,2,2,289000,Normal
2308,5,3,1,2,147000,Normal
7596,5,4,0,2,124500,Normal
9554,5,3,1,2,215000,Normal
7862,5,2,0,2,208300,Partial
9600,9,3,1,2,161000,Normal
9600,6,3,0,1,124500,Normal
14559,7,2,2,1,164900,Normal
6792,5,2,1,2,202665,Partial
9100,5,3,0,2,129900,Normal
9187,5,3,0,2,134000,Normal
10594,5,2,0,1,96500,Normal
12220,5,3,1,3,402861,Partial
10448,6,3,1,2,158000,Abnorml
10208,5,3,1,3,265000,Normal
9531,5,3,0,2,211000,Normal
10918,9,3,2,1,234000,Normal
10800,7,3,0,0,106250,Normal
11988,6,3,2,1,150000,Normal
5000,7,3,2,2,159000,Normal
40094,5,3,1,3,184750,Partial
11787,5,3,1,3,315750,Normal
7500,5,3,1,2,176000,Normal
13300,7,2,0,1,132000,Normal
14948,5,3,1,3,446261,Partial
9098,7,2,0,0,86000,Normal
32668,3,4,2,2,200624,Alloca
10200,5,3,1,2,175000,Abnorml
6155,8,3,0,2,128000,Normal
7200,7,2,1,1,107500,Normal
5000,3,1,0,0,39300,Normal
9056,5,3,1,2,178000,Normal
7000,7,3,0,0,107500,Normal
8924,5,3,0,2,188000,Normal
12735,5,3,0,2,111250,Normal
11553,5,3,1,1,158000,Normal
11423,5,3,1,2,272000,Normal
14601,5,2,1,3,315000,Normal
11000,5,4,1,3,248000,Normal
10140,5,3,1,2,213250,Normal
4058,5,1,0,1,133000,Normal
17104,5,3,1,2,179665,Partial
13837,5,4,0,3,229000,Normal
8737,7,3,1,2,210000,Normal
7244,7,2,0,2,129500,Normal
8235,7,2,0,2,125000,Normal
9375,5,4,1,2,263000,Normal
4043,6,2,0,2,140000,Abnorml
6000,6,3,0,1,112500,Normal
11146,5,3,1,3,255500,Normal
8777,5,2,0,2,108000,Normal
10625,5,3,1,3,284000,Normal
6380,6,2,1,1,113000,Normal
14850,5,2,1,1,141000,Normal
11040,6,3,0,1,108000,Normal
21872,5,3,1,2,175000,Normal
3196,5,2,1,2,234000,Normal
11341,6,3,1,2,121500,Normal
10010,5,2,1,2,170000,Normal
13907,6,3,1,0,108000,Normal
21780,7,4,1,2,185000,Normal
13346,5,4,1,2,268000,Normal
6858,4,4,0,1,128000,Normal
11198,5,4,1,3,325000,Normal
10171,5,3,0,2,214000,Normal
12327,8,1,1,2,316600,Normal
7032,5,2,2,2,135960,Normal
13101,5,6,0,2,142600,Normal
7332,6,2,0,1,120000,Abnorml
13159,5,3,0,2,224500,Partial
9967,5,3,1,2,170000,Normal
10500,7,3,0,1,139000,Normal
8480,5,2,0,1,118500,Abnorml
6292,7,3,1,1,145000,Normal
11777,6,3,2,2,164500,Abnorml
3604,5,2,0,2,146000,Abnorml
12150,5,4,0,1,131500,Normal
14585,6,3,2,2,181900,Normal
12704,5,3,1,3,253293,Partial
11841,5,3,0,0,118500,Normal
13500,9,3,1,2,325000,Normal
6120,7,3,0,1,133000,Normal
11443,5,2,2,3,369900,Partial
10267,7,2,0,1,130000,Normal
8740,6,2,0,2,137000,Normal
25095,8,1,2,1,143000,Partial
9100,6,2,0,1,79500,Normal
8320,5,3,0,2,185900,Normal
13478,5,3,1,3,451950,Normal
6600,8,2,0,2,138000,Normal
4435,5,1,0,2,140000,Normal
7990,6,3,0,1,110000,Normal
11302,5,3,1,3,319000,Partial
3600,7,3,0,1,114504,Normal
3922,5,2,1,3,194201,Partial
12984,6,3,1,2,217500,Normal
1950,6,3,1,2,151000,Normal
10927,5,3,1,2,275000,Normal
9000,6,3,1,1,141000,Normal
10041,5,3,1,2,220000,Abnorml
3182,5,2,0,2,151000,Normal
12803,5,3,1,2,221000,Normal
13600,6,3,3,2,205000,Normal
12464,5,3,0,2,152000,Normal
7800,8,3,0,1,225000,Normal
12168,6,4,2,2,359100,Alloca
7943,5,3,0,1,118500,Normal
11050,5,3,2,3,313000,Normal
10395,6,3,1,2,148000,Normal
11885,5,3,1,2,261500,Normal
8402,5,3,0,0,147000,Partial
1491,6,1,0,0,75500,Normal
8800,7,3,0,2,137500,Abnorml
7861,5,3,1,2,183200,Normal
7227,6,2,0,2,105500,Normal
11694,5,3,1,3,314813,Partial
12244,5,4,2,3,305000,Normal
8248,3,2,0,0,67000,Normal
10800,7,4,1,2,240000,Normal
7064,6,3,0,2,135000,Normal
2117,5,2,1,2,168500,Normal
10400,5,4,1,2,165150,Normal
10000,6,3,0,2,160000,Normal
12342,5,3,1,1,139900,Normal
9600,6,3,2,1,153000,Normal
11606,5,5,2,2,135000,Family
9020,5,3,0,2,168500,Normal
9000,6,3,0,1,124000,Abnorml
4590,5,2,1,2,209500,Normal
11900,5,3,1,2,82500,Family
9250,7,3,0,1,139400,Normal
6979,5,0,0,2,144000,Normal
10896,7,8,0,0,200000,Abnorml
6120,3,1,1,0,60000,Normal
6000,4,3,0,1,93000,Normal
8777,7,2,0,0,85000,Normal
3982,5,1,1,3,264561,Partial
12677,5,1,1,2,274000,Normal
7050,5,3,1,2,226000,Normal
13860,7,4,3,2,345000,Normal
10793,5,4,0,2,152000,Normal
9187,5,2,1,3,370878,Partial
10530,5,3,0,2,143250,Normal
7200,5,3,0,2,98300,Normal
10452,5,3,2,2,155000,Normal
7700,5,4,1,2,155000,Normal
1936,6,1,0,0,84500,Normal
8125,6,3,0,2,205950,Normal
9084,5,4,1,1,108000,Normal
8750,5,2,1,2,191000,Normal
10320,7,3,0,1,135000,Normal
10437,6,2,1,3,350000,Normal
1680,5,3,0,1,88000,Family
10007,7,3,0,1,145500,Normal
7200,6,3,1,1,149000,Normal
17503,5,3,1,1,97500,Abnorml
9937,7,3,0,2,167000,Normal
12384,7,3,1,2,197900,Normal
46589,7,4,1,3,402000,Normal
13560,3,2,2,2,110000,Normal
10012,5,3,0,2,137500,Normal
20896,5,1,1,3,423000,Partial
11194,5,3,1,2,230500,Normal
18450,5,3,1,2,129000,Abnorml
8125,5,3,1,2,193500,Normal
14175,6,3,1,2,168000,Normal
11600,5,2,1,1,137500,Normal
8633,5,3,0,2,173500,Normal
6629,6,3,0,1,103600,Normal
11250,6,3,1,2,165000,Normal
14442,7,3,2,2,257500,Normal
9200,6,3,1,1,140000,Normal
2289,6,3,1,2,148500,Normal
9600,2,4,0,3,87000,Normal
9022,8,2,0,1,109500,Normal
11844,5,3,1,3,372500,Partial
9945,5,3,0,2,128500,Normal
8012,5,2,1,1,143000,Normal
4500,5,3,0,1,159434,Abnorml
2887,5,2,1,2,173000,Normal
11248,5,3,1,3,285000,Normal
16770,5,4,0,2,221000,Normal
5062,5,3,1,2,207500,Normal
10207,6,3,0,2,227875,Partial
5105,5,2,0,2,148800,Normal
8089,6,2,1,2,392000,Partial
7577,5,2,1,2,194700,Normal
4426,5,1,1,2,141000,Normal
21535,6,4,2,3,755000,Normal
26178,5,4,2,2,335000,Normal
5400,6,2,0,1,108480,Abnorml
6120,6,3,0,2,141500,Normal
13811,6,2,1,2,176000,Normal
6000,7,2,0,1,89000,Normal
6420,7,2,0,1,123500,Normal
8450,8,3,1,1,138500,Normal
4282,5,2,0,2,196000,Normal
14331,5,3,1,3,312500,Normal
9600,5,3,0,2,140000,Normal
12438,5,4,1,3,361919,Partial
7630,9,4,1,2,140000,Normal
8400,5,3,0,2,213000,Normal
5600,5,3,0,0,55000,Normal
115149,5,2,2,2,302000,Normal
6240,5,2,1,2,254000,Normal
9018,5,3,1,2,179540,Partial
7162,7,3,0,1,109900,Abnorml
4130,6,2,0,0,52000,Normal
8712,7,2,0,1,102776,Abnorml
4671,5,2,1,2,189000,Normal
9873,5,3,0,2,129000,Normal
13517,8,3,0,2,130500,Normal
10140,5,3,1,2,165000,Normal
10800,8,3,0,2,159500,Normal
10000,6,3,1,2,157000,Normal
10542,5,3,1,3,341000,Normal
9920,6,3,1,1,128500,Normal
6563,5,2,1,2,275000,Normal
4426,5,1,0,2,143000,Normal
8120,7,3,0,2,124500,Normal
8172,6,4,0,1,135000,Normal
13286,5,3,1,3,320000,Normal
6960,6,3,0,2,120500,Normal
21695,9,3,1,2,222000,Normal
7314,5,2,0,2,194500,Normal
11475,5,4,0,3,110000,Abnorml
6240,5,2,0,2,103000,Normal
5389,5,2,1,2,236500,Normal
9590,5,3,1,2,187500,Normal
11404,5,3,1,2,222500,Normal
10000,6,3,1,1,131400,Normal
8978,5,3,0,1,108000,Family
10800,7,2,2,2,163000,Normal
8544,4,2,0,2,93500,Normal
10463,5,3,1,3,239900,Normal
10800,5,3,0,0,179000,Alloca
9313,5,3,0,2,190000,Normal
9600,7,2,0,2,132000,Abnorml
6768,8,3,0,1,142000,Normal
8450,5,3,0,2,179000,Normal
12886,6,3,1,2,175000,Normal
5395,5,2,1,2,180000,Normal
8963,9,4,2,2,299800,Normal
8795,5,4,1,2,236000,Normal
11700,7,4,1,4,265979,Normal
10593,5,3,1,2,260400,Normal
8405,3,4,0,1,98000,Normal
8800,7,3,0,0,96500,Normal
7750,5,3,0,2,162000,Normal
9236,5,3,0,2,217000,Normal
10240,5,3,1,3,275500,Normal
7930,8,3,0,2,156000,Normal
3230,5,3,0,2,172500,Normal
10769,5,3,0,2,212000,Normal
11616,5,3,1,2,158900,Abnorml
2280,5,3,0,2,179400,Normal
12257,5,4,1,3,290000,Normal
9100,6,2,0,1,127500,Normal
6911,5,2,0,2,100000,Normal
8640,5,3,0,2,215200,Normal
9430,5,3,1,3,337000,Normal
9549,5,2,1,2,270000,Normal
14587,5,2,1,2,264132,Partial
