MSSubClass,LotArea,OverallCond,YearBuilt,FullBath,BedroomAbvGr,KitchenAbvGr,Fireplaces,GarageCars,SalePrice
50,10410,7,1916,2,3,1,0,1,135000
90,7018,5,1979,0,2,2,2,2,153337
120,4923,5,2001,1,0,1,1,2,286000
70,10570,8,1932,2,3,1,2,2,315000
60,7472,9,1972,1,4,1,0,2,184000
20,9017,5,1999,2,3,1,0,2,192000
160,2522,5,2004,2,3,1,0,2,130000
20,7180,7,1972,1,3,1,0,1,127000
160,2280,6,1976,2,3,1,1,2,148500
20,9416,5,2007,2,3,1,1,3,311872
75,25419,4,1918,2,4,1,1,2,235000
75,5520,6,1912,1,5,1,0,0,104000
20,9591,5,2004,2,3,1,1,3,274900
20,8546,5,2003,2,2,1,0,2,140000
20,10125,6,1977,2,3,1,2,2,171500
50,7000,6,1924,2,2,1,0,1,112000
120,4438,5,2004,1,1,1,1,2,149000
50,3500,7,1947,1,2,1,0,1,110000
20,11851,5,1990,2,3,1,0,2,180500
20,13673,5,1962,1,3,1,1,1,143900
20,12493,5,1960,1,3,1,1,1,141000
60,14364,5,1988,2,3,1,1,2,277000
20,8250,7,1964,1,3,1,0,2,145000
30,5604,6,1925,1,2,1,0,0,98000
20,10420,5,2009,2,3,1,0,2,186000
60,8640,5,2009,2,3,1,1,2,252678
20,13568,5,1995,1,3,1,0,2,156000
20,10011,6,1957,1,2,1,1,1,134450
20,8450,5,2004,2,3,1,0,2,210000
70,9906,4,1925,1,3,1,0,1,107000
50,15660,9,1939,1,3,1,2,2,311500
120,3010,5,2005,2,2,1,0,2,167240
20,8990,5,2006,2,2,1,0,2,204900
60,8068,5,2002,2,4,1,1,2,200000
60,11475,6,1975,2,3,1,1,2,179900
20,10500,6,1971,1,2,1,0,2,97000
20,13472,5,2003,2,3,1,1,3,386250
160,1680,5,1971,2,3,1,0,1,112000
60,9950,5,1995,2,4,1,1,3,290000
160,1869,6,1970,1,2,1,0,1,106000
20,8521,5,1967,1,3,1,1,1,125000
120,3182,5,2005,2,2,1,1,2,192500
20,8760,6,1959,1,3,1,0,1,148000
60,15138,5,1995,2,4,1,1,3,403000
160,1680,5,1972,1,2,1,1,1,94500
20,10650,6,1976,1,3,1,0,1,128200
60,7851,5,2002,2,4,1,2,2,216500
160,1680,3,1971,1,2,1,0,1,89500
20,8773,5,2004,2,3,1,0,2,185500
60,9453,7,1993,2,3,1,0,2,194500
20,12030,5,2007,2,3,1,0,3,318000
50,8741,4,1945,1,3,1,1,1,113000
20,9000,5,2008,2,3,1,0,2,262500
30,3880,9,1945,1,2,1,0,0,110500
50,5000,4,1900,1,3,1,0,1,79000
160,10762,6,1980,1,3,1,1,1,120000
60,8880,5,1994,2,3,1,2,2,205000
20,10400,5,1988,2,3,1,1,2,241500
190,9142,8,1910,2,4,2,0,1,137000
20,11310,5,1954,1,2,1,1,2,140000
60,11317,5,2003,2,3,1,0,2,180000
120,4750,5,2006,2,2,1,1,2,235000
60,8366,5,2004,2,3,1,0,2,173000
80,9350,7,1964,2,3,1,0,1,158000
20,8400,6,1957,1,3,1,0,1,145000
60,8738,5,1999,2,4,1,1,2,230000
60,8791,5,2003,2,3,1,0,2,207500
20,8814,5,2006,2,3,1,1,2,220000
60,12435,5,2001,2,3,1,1,2,231500
20,12702,5,1956,1,2,1,0,1,97000
80,19296,5,1962,1,3,1,1,2,176000
60,9588,5,2007,2,3,1,1,3,276000
80,8471,7,1977,1,3,1,1,2,151000
50,5500,7,1929,1,3,1,0,2,130000
30,5232,5,1925,1,2,1,0,2,73000
20,12090,6,1981,2,3,1,1,2,175500
60,11207,5,1997,2,3,1,1,2,185000
75,8400,8,1939,2,4,1,1,1,179500
30,6900,6,1940,1,2,1,1,1,120500
20,7917,7,1976,1,3,1,1,1,148000
60,10728,5,2006,2,3,1,1,3,266000
20,39104,7,1954,1,2,1,2,2,241500
60,11764,7,1999,2,4,1,1,3,290000
20,9600,6,1958,2,3,1,1,1,139000
20,8314,7,1982,1,2,1,0,1,124500
50,7264,7,1925,2,3,1,0,2,205000
20,9196,5,2003,2,3,1,0,2,201000
20,19138,5,1951,1,2,1,0,2,141000
20,14450,5,2006,2,3,1,1,3,415298
60,10005,5,1977,2,4,1,1,2,192000
60,11287,6,1989,2,3,1,1,2,228500
20,7200,5,2006,2,2,1,0,2,185000
120,5063,5,2007,2,2,1,1,2,207500
20,9612,5,2008,2,3,1,1,3,244600
120,8012,5,1992,2,2,1,0,2,179200
160,4251,5,2006,2,2,1,0,2,164700
50,9786,7,1962,1,3,1,1,2,159000
20,8125,4,1971,1,3,1,0,0,88000
20,9819,5,1967,1,3,1,0,1,122000
70,8730,7,1915,1,3,1,0,1,153575
60,15611,5,2006,2,3,1,1,2,233230
190,5687,6,1912,2,6,1,0,0,135900
50,11409,4,1949,1,3,1,1,1,131000
60,16659,7,1977,2,3,1,1,2,235000
20,9600,5,1953,1,3,1,2,2,167000
80,7937,6,1984,1,3,1,0,2,142500
50,13710,5,1950,1,4,1,0,1,152000
60,7399,5,1997,2,3,1,1,2,239000
60,11700,6,1968,1,3,1,1,2,175000
20,14000,8,1950,1,3,1,1,1,158500
190,15750,5,1953,1,2,1,2,1,157000
60,16226,5,1998,2,4,1,1,2,267000
20,13704,5,2001,2,3,1,1,3,205000
20,9800,7,1972,1,3,1,0,2,149900
75,18386,9,1880,3,3,1,1,3,295000
20,10386,5,2004,2,3,1,0,3,305900
60,13474,5,1990,2,4,1,1,3,225000
50,7920,7,1920,1,3,1,0,0,89500
30,12342,5,1940,1,1,1,0,2,82500
20,12378,5,2003,2,3,1,3,3,360000
60,7685,5,1993,2,3,1,1,2,165600
20,8000,6,1948,1,2,1,1,1,132000
190,7800,7,1939,1,3,1,1,2,119900
20,215245,5,1965,2,3,1,2,2,375000
70,9600,7,1925,1,3,1,1,2,178000
60,7795,5,2004,2,3,1,1,2,188500
60,13005,7,1980,2,4,1,1,2,260000
60,9000,5,2006,2,3,1,1,3,270000
60,9900,5,1993,2,4,1,1,3,260000
80,14115,5,1980,2,3,1,2,2,187500
60,16259,5,2006,3,4,1,0,3,342643
60,12099,5,2004,2,4,1,1,3,354000
60,10380,5,1986,2,4,1,1,2,301000
20,5820,8,1955,1,3,1,0,1,126175
80,11275,7,1967,2,5,1,1,2,242000
45,5000,6,1941,1,2,1,0,2,87000
120,10846,5,1993,1,1,1,2,2,324000
20,11600,5,1960,1,3,1,0,1,145250
75,11888,6,1916,2,5,1,0,2,214500
70,6402,5,1920,1,3,1,0,1,78000
90,10624,4,1964,2,6,2,0,1,119000
20,8176,6,1958,1,3,1,0,1,139000
20,10655,5,2003,2,3,1,1,3,284000
120,8198,5,2004,2,2,1,1,2,207000
60,9042,5,1998,2,3,1,2,2,192000
20,14157,5,2005,2,3,1,1,3,377426
20,9135,5,2002,2,3,1,0,2,214000
20,14145,7,1984,2,3,1,0,2,202500
20,12400,7,1958,1,3,1,0,1,155000
60,14191,5,2002,2,4,1,0,2,202900
20,8400,4,1950,1,2,1,0,1,82000
90,8544,4,1949,2,2,2,0,2,87500
120,8849,5,2005,2,2,1,1,2,266000
160,2592,3,1976,1,3,1,0,1,85000
50,6435,5,1939,1,3,1,1,1,140200
20,17600,5,1960,2,3,1,2,2,157500
160,2448,5,2003,2,2,1,0,2,154000
60,20431,5,2005,2,4,1,2,3,437154
120,7820,5,2007,2,2,1,1,2,318061
120,5271,5,1986,1,2,1,1,2,190000
50,9084,6,1941,1,3,1,0,1,95000
30,8520,8,1928,1,2,1,0,2,105900
50,8400,5,1940,1,2,1,2,1,140000
20,11249,5,1995,2,3,1,0,2,177500
20,9248,6,1992,2,3,1,0,2,173000
120,4224,5,1976,1,3,1,1,2,134000
80,6930,4,1958,1,3,1,0,1,130000
60,12011,5,1998,2,3,1,1,2,280000
85,7540,6,1978,1,2,1,1,2,156000
50,9144,5,1940,1,3,1,0,1,145000
85,7301,5,2003,3,4,1,1,2,198500
160,1680,8,1972,1,2,1,0,1,118000
60,18800,5,1976,2,3,1,1,2,190000
70,10690,7,1920,1,3,1,0,1,147000
20,9500,5,1963,1,3,1,2,2,159000
80,9150,5,1962,1,3,1,1,1,165000
20,7800,6,1954,1,2,1,1,1,132000
20,9830,7,1959,1,3,1,1,2,162000
60,8121,5,2000,2,3,1,1,2,172400
50,17120,4,1959,2,4,1,1,2,134432
120,7175,5,1984,1,2,1,0,1,125000
20,10634,6,1953,1,3,1,0,1,123000
60,8200,5,2003,2,4,1,1,2,219500
30,10020,1,1922,0,1,1,0,0,61000
85,8846,5,1996,1,2,1,0,2,148000
60,11143,5,2004,3,4,1,1,2,340000
20,11394,2,2010,1,1,1,1,3,394432
60,8123,5,2000,2,3,1,1,2,179000
50,5000,6,1924,2,3,1,1,1,127000
20,7200,5,2006,2,2,1,1,2,187750
60,9245,5,2006,2,3,1,0,2,213500
45,9000,3,1928,1,2,1,0,2,76000
60,53107,5,1992,2,3,1,2,2,240000
120,3182,5,2004,2,2,1,1,2,192000
50,8410,3,1910,1,5,1,0,0,81000
80,7200,6,1976,1,3,1,1,1,125000
20,9382,5,1999,2,3,1,0,2,191000
60,12474,5,2007,2,3,1,1,3,426000
50,8405,8,1900,1,4,1,0,1,119000
60,12209,5,2001,2,3,1,1,2,215000
30,7446,5,1941,1,2,1,2,0,100000
50,10134,6,1940,1,2,1,0,1,109000
20,9571,6,1956,1,3,1,0,1,129000
20,7200,5,1972,1,2,1,0,2,123000
60,7590,5,1962,2,4,1,1,1,169500
30,8967,2,1920,1,2,1,0,1,67000
60,8125,5,2006,2,2,1,0,2,241000
120,14963,5,1996,1,1,1,2,2,245500
20,8767,5,2005,2,3,1,1,2,164990
30,10200,8,1940,1,2,1,0,1,108000
60,12090,5,1998,2,4,1,1,2,258000
60,10364,5,1995,2,3,1,1,2,168000
20,9991,4,1976,2,3,1,1,2,150000
50,10480,5,1936,1,3,1,0,1,115000
70,15576,7,1915,2,4,1,0,1,177000
60,14154,5,2006,2,3,1,1,3,280000
60,10800,5,2007,2,3,1,1,3,339750
20,9571,3,1958,1,3,1,0,1,60000
190,34650,5,1955,1,3,1,0,2,145000
20,4403,5,2009,2,2,1,1,2,222000
30,8960,6,1927,1,2,1,1,2,115000
60,11228,5,1993,2,3,1,1,3,228000
20,8899,5,2007,2,3,1,0,2,181134
60,7844,7,1978,1,3,1,1,2,149500
70,22420,6,1918,2,4,1,1,3,239000
50,8160,6,1940,1,3,1,0,1,126000
20,8450,6,1968,1,3,1,1,1,142000
90,7060,5,1997,2,2,2,0,4,206300
20,16635,7,1977,2,3,1,1,2,215000
20,21750,5,1954,1,2,1,0,2,113000
60,9200,5,1998,2,4,1,1,3,315000
20,9000,5,1956,1,2,1,1,1,139000
60,3378,8,1946,1,3,1,2,1,135000
80,12800,5,1989,2,2,1,1,2,275000
20,8593,6,1957,1,3,1,0,1,109008
20,6762,5,2007,2,2,1,0,2,195400
20,11457,5,1988,2,3,1,1,2,175000
160,1680,5,1971,1,2,1,0,1,85400
50,5586,7,1920,1,4,1,0,0,79900
160,1920,5,1971,1,2,1,0,2,122500
60,10839,5,1997,2,3,1,1,2,181000
180,1890,7,1972,1,1,1,0,0,81000
60,10667,6,1996,2,3,1,1,2,212000
50,4400,8,1920,1,2,1,0,2,116000
45,6000,7,1926,1,2,1,0,1,119000
30,4280,6,1913,1,2,1,1,1,90350
20,15431,5,2008,2,2,1,2,3,555000
90,12108,4,1955,2,4,2,0,0,118000
50,6240,7,1930,2,3,1,1,2,162900
120,3922,5,2006,2,2,1,1,3,172500
60,8750,5,1994,2,4,1,1,2,210000
20,9855,5,1956,1,3,1,1,2,127500
20,16492,6,1966,2,2,1,1,2,190000
60,11214,5,1998,2,4,1,1,2,199900
50,8600,6,1937,2,3,1,1,1,119500
50,6000,7,1948,1,2,1,0,1,120000
30,5684,8,1930,1,2,1,0,1,110000
20,70761,5,1975,2,2,1,2,2,280000
60,9303,5,1996,2,3,1,0,2,204000
60,9000,5,2008,2,3,1,0,2,210000
90,9297,5,1976,2,4,2,0,2,188000
20,9600,6,1973,1,3,1,1,2,175500
70,4571,5,1916,1,4,1,0,3,98000
20,53227,6,1954,1,2,1,2,2,256000
70,5100,7,1925,1,3,1,1,1,161000
50,7015,4,1950,1,3,1,1,1,110000
60,8004,5,2009,2,3,1,0,2,263435
70,7200,9,1936,1,3,1,0,2,155000
20,8281,5,1965,1,3,1,1,1,62383
70,11988,7,1934,1,3,1,1,1,188700
20,8430,5,1978,2,3,1,0,0,124000
120,3072,5,2004,2,2,1,1,2,178740
20,10628,5,1970,1,2,1,1,2,167000
70,9480,7,1942,1,3,1,2,1,146500
20,11428,5,2006,2,3,1,1,3,250000
60,9291,5,1993,2,3,1,0,2,187000
120,6820,5,1985,1,1,1,0,2,212000
60,11952,6,1977,2,3,1,1,2,190000
180,3675,5,2005,1,2,1,0,2,148000
20,14977,5,2006,2,2,1,1,3,440000
120,5330,5,2000,2,2,1,0,2,251000
20,8480,6,1963,1,2,1,0,2,132500
20,13125,5,1997,2,3,1,1,2,208900
60,13693,5,2006,2,3,1,1,3,380000
20,10637,5,2007,2,3,1,1,3,297000
30,5925,7,1937,1,2,1,0,2,89471
20,16033,5,2004,2,3,1,1,3,326000
20,11846,5,2003,2,2,1,1,3,374000
70,2500,8,1915,1,4,1,1,1,155000
120,4500,5,1998,2,2,1,0,2,164000
20,7758,7,1962,1,3,1,0,1,132500
20,9600,7,1950,1,3,1,1,1,147000
20,10289,7,1965,1,3,1,0,2,156000
20,12243,6,1971,2,3,1,1,2,175000
190,10800,4,1900,2,3,2,1,2,160000
180,1526,8,1970,1,1,1,0,1,86000
160,2665,6,1976,1,3,1,1,1,115000
50,9490,7,1941,1,3,1,2,1,133000
60,15578,5,2006,2,3,1,0,2,172785
20,7931,6,1960,1,3,1,1,1,155000
30,5784,8,1938,1,2,1,0,1,91300
30,7879,5,1920,1,2,1,0,0,34900
20,12692,5,1992,3,4,1,1,2,430000
50,9120,6,1925,2,4,1,0,1,184000
20,7800,7,1967,1,3,1,0,1,130000
160,1890,5,1973,1,3,1,0,1,113000
60,9803,5,2005,2,3,1,0,2,226700
20,15602,8,1959,2,1,1,2,2,289000
160,2308,5,1974,2,3,1,1,2,147000
90,7596,5,1952,2,4,2,0,2,124500
60,9554,5,1993,2,3,1,1,2,215000
20,7862,5,2009,2,2,1,0,2,208300
70,9600,9,1928,2,3,1,1,2,161000
20,9600,6,1959,1,3,1,0,1,124500
20,14559,7,1951,1,2,1,2,1,164900
120,6792,5,2005,2,2,1,1,2,202665
20,9100,5,1958,1,3,1,0,2,129900
20,9187,5,1983,1,3,1,0,2,134000
45,10594,5,1926,1,2,1,0,1,96500
20,12220,5,2009,2,3,1,1,3,402861
80,10448,6,1972,2,3,1,1,2,158000
60,10208,5,1996,2,3,1,1,3,265000
60,9531,5,1998,2,3,1,0,2,211000
70,10918,9,1926,1,3,1,2,1,234000
190,10800,7,1900,2,3,2,0,0,106250
20,11988,6,1957,1,3,1,2,1,150000
50,5000,7,1947,2,3,1,2,2,159000
60,40094,5,2007,3,3,1,1,3,184750
60,11787,5,1996,2,3,1,1,3,315750
20,7500,5,2005,2,3,1,1,2,176000
20,13300,7,1956,1,2,1,0,1,132000
60,14948,5,2008,2,3,1,1,3,446261
30,9098,7,1920,1,2,1,0,0,86000
20,32668,3,1957,3,4,2,2,2,200624
80,10200,5,1988,2,3,1,1,2,175000
70,6155,8,1920,2,3,1,0,2,128000
20,7200,7,1955,1,2,1,1,1,107500
20,5000,3,1946,1,1,1,0,0,39300
60,9056,5,2004,2,3,1,1,2,178000
190,7000,7,1910,1,3,1,0,0,107500
60,8924,5,1998,2,3,1,0,2,188000
20,12735,5,1972,1,3,1,0,2,111250
20,11553,5,1968,1,3,1,1,1,158000
20,14601,5,2006,2,2,1,1,3,315000
60,11000,5,2000,2,4,1,1,3,248000
20,10140,5,1998,2,3,1,1,2,213250
120,4058,5,1998,1,1,1,0,1,133000
60,17104,5,2006,2,3,1,1,2,179665
50,13837,5,1988,2,4,1,0,3,229000
50,8737,7,1923,1,3,1,1,2,210000
85,7244,7,1970,1,2,1,0,2,129500
20,8235,7,1955,1,2,1,0,2,125000
60,9375,5,2003,2,4,1,1,2,263000
120,4043,6,1977,2,2,1,0,2,140000
20,6000,6,1957,1,3,1,0,1,112500
20,11146,5,2006,2,3,1,1,3,255500
20,8777,5,1949,2,2,1,0,2,108000
60,10625,5,2003,2,3,1,1,3,284000
45,6380,6,1922,1,2,1,1,1,113000
20,14850,5,1957,1,2,1,1,1,141000
50,11040,6,1920,1,3,1,0,1,108000
60,21872,5,1996,2,3,1,1,2,175000
120,3196,5,2003,2,2,1,1,2,234000
20,11341,6,1957,1,3,1,1,2,121500
20,10010,5,1974,1,2,1,1,2,170000
30,13907,6,1940,1,3,1,1,0,108000
50,21780,7,1918,2,4,1,1,2,185000
60,13346,5,1992,2,4,1,1,2,268000
70,6858,4,1915,1,4,1,0,1,128000
60,11198,5,2005,2,4,1,1,3,325000
20,10171,5,2004,2,3,1,0,2,214000
50,12327,8,1983,1,1,1,1,2,316600
90,7032,5,1979,1,2,1,2,2,135960
90,13101,5,1965,2,6,2,0,2,142600
20,7332,6,1959,1,2,1,0,1,120000
60,13159,5,2009,2,3,1,0,2,224500
80,9967,5,2000,2,3,1,1,2,170000
80,10500,7,1971,1,3,1,0,1,139000
50,8480,5,1947,1,2,1,0,1,118500
50,6292,7,1928,2,3,1,1,1,145000
80,11777,6,1966,1,3,1,2,2,164500
160,3604,5,2007,2,2,1,0,2,146000
50,12150,5,1954,2,4,1,0,1,131500
20,14585,6,1960,1,3,1,2,2,181900
20,12704,5,2008,2,3,1,1,3,253293
90,11841,5,1990,1,3,1,0,0,118500
75,13500,9,1893,3,3,1,1,2,325000
50,6120,7,1935,1,3,1,0,1,133000
20,11443,5,2005,2,2,1,2,3,369900
30,10267,7,1918,1,2,1,0,1,130000
85,8740,6,1982,1,2,1,0,2,137000
20,25095,8,1968,1,1,1,2,1,143000
40,9100,6,1930,1,2,1,0,1,79500
60,8320,5,2004,2,3,1,0,2,185900
60,13478,5,2008,2,3,1,1,3,451950
20,6600,8,1982,1,2,1,0,2,138000
120,4435,5,2003,1,1,1,0,2,140000
20,7990,6,1975,1,3,1,0,1,110000
20,11302,5,2005,2,3,1,1,3,319000
70,3600,7,1910,1,3,1,0,1,114504
120,3922,5,2006,0,2,1,1,3,194201
20,12984,6,1977,2,3,1,1,2,217500
160,1950,6,1980,2,3,1,1,2,151000
60,10927,5,2005,2,3,1,1,2,275000
50,9000,6,1937,1,3,1,1,1,141000
60,10041,5,1992,2,3,1,1,2,220000
160,3182,5,2004,2,2,1,0,2,151000
20,12803,5,2002,2,3,1,1,2,221000
60,13600,6,1965,2,3,1,3,2,205000
20,12464,5,1996,1,3,1,0,2,152000
20,7800,8,1948,3,3,1,0,1,225000
70,12168,6,1934,2,4,1,2,2,359100
20,7943,5,1961,1,3,1,0,1,118500
60,11050,5,2000,2,3,1,2,3,313000
60,11885,5,2001,2,3,1,1,2,261500
20,8402,5,2007,1,3,1,0,0,147000
180,1491,6,1972,1,1,1,0,0,75500
85,8800,7,1963,1,3,1,0,2,137500
60,7861,5,2002,2,3,1,1,2,183200
45,7227,6,1954,1,2,1,0,2,105500
20,11694,5,2007,2,3,1,1,3,314813
